Crop,Chemical Fertiliser,Brand,Cost (per kg),Chemical Efficiency,Organic Fertiliser,Brand,Cost (per kg),Organic Efficiency
Cowpea (karamani),MOP,IPL MFL,34,,Neem Cake,Greenrich S R Neem Agro Products,22.5,15
Horse Gram (kollu),SSP,Coromandel,9,55,Farmyard Manure (FYM),Local Suppliers,14,15
Horse Gram (kollu),Urea,IFFCO MFL,5.36,35,Rhizobium,TNAU,150,15
Bengal Gram (chick-pea),MOP,IPL MFL,34,55,Neem Cake,Greenrich S R Neem Agro Products,22.5,15
Bengal Gram (chick-pea),Di-Ammonium Phosphate (DAP),Coromandel MFL,27,17.5,Phosphobacteria,TNAU,150,15
Groundnut (peanut),Gypsum,Coromandel,6.5,55,Vermicompost,Rasi Organic Farms Manidharma,17.5,15
Groundnut (peanut),SSP,MFL Coromandel,9,55,Phosphobacteria,TNAU,150,15
Groundnut (peanut),Borax,Local brands,25,35,Neem Cake,Greenrich S R Neem Agro Products,22.5,15
Gingelly / Sesame,Urea,IFFCO MFL,5.36,35,Cow Dung Manure,Rachana Guild Earth Sense Agro Products,14,15
Gingelly / Sesame,SSP,Coromandel,9,55,Azospirillum,TNAU Agri Biotech,150,15
Sunflower,15-15-15 NPK,MFL Coromandel,11,40,Farmyard Manure (FYM),Local Suppliers,14,15
Sunflower,Urea,IFFCO MFL,5.36,35,Vermicompost,Manidharma Biotech Rasi Organic Farms,17.5,15
Sunflower,Zinc Sulphate,Coromandel,25,35,Vermicompost,Manidharma Biotech Rasi Organic Farms,17.5,15
Castor,Urea,IFFCO MFL,5.36,35,Neem Cake,S R Neem Agro Products,22.5,15
Castor,SSP,Coromandel,9,55,Cow Dung Manure,Rachana Guild Earth Sense Agro Products,14,15
Soybean,DAP,MFL Coromandel,27,17.5,Rhizobium,TNAU,150,15
Soybean,MOP,IPL MFL,34,55,Vermicompost,Rasi Organic Farms Manidharma,17.5,15
Coconut,MOP,IPL MFL,34,55,Farmyard Manure (FYM),Rachana Guild Earth Sense Agro Products,14,15
Coconut,Urea,IFFCO MFL,5.36,35,Azospirillum,TNAU,150,15
Coconut,Dolomite,Local brands,7.5,55,Neem Cake,Greenrich S R Neem Agro Products,22.5,15
Sugarcane,Urea,IFFCO MFL,5.36,35,Pressmud,Sugar mills local suppliers,11.5,15
Sugarcane,MOP,IPL MFL,34,55,Cow Dung Manure,Rachana Guild,14,15
Sugarcane,15-15-15 NPK,MFL Coromandel,11,40,Cow Dung Manure,Rachana Guild,14,15
Cotton,17-17-17 NPK,Coromandel,11,40,Vermicompost,Manidharma Biotech Rasi Organic Farms,17.5,15
Cotton,Urea,IFFCO MFL,5.36,35,Azotobacter,TNAU,150,15
Cotton,Zinc Sulphate,Coromandel,25,35,Neem Cake,Greenrich S R Neem Agro Products,22.5,15
Turmeric,Urea,IFFCO MFL,5.36,35,Neem Cake,Greenrich S R Neem Agro Products,22.5,15
Turmeric,SSP,Coromandel,9,55,Vermicompost,Rasi Organic Farms Manidharma,17.5,15
Turmeric,MOP,IPL,34,55,Cow Dung Manure,Rachana Guild Earth Sense Agro Products,14,15
Tapioca (cassava),MOP,IPL MFL,34,55,Farmyard Manure (FYM),Local Suppliers,14,15
Tapioca (cassava),Urea,IFFCO MFL,5.36,35,Cow Dung Manure,Rachana Guild Earth Sense Agro Products,14,15
Arecanut,MOP,IPL MFL,34,55,Vermicompost,Manidharma Biotech Rasi Organic Farms,17.5,15
Arecanut,Urea,IFFCO MFL,5.36,35,Cow Dung Manure,Rachana Guild Earth Sense Agro Products,14,15
Arecanut,SSP,Coromandel,9,55,Neem Cake,Greenrich S R Neem Agro Products,22.5,15
Tea,17-17-17 NPK,Coromandel,11,40,Compost,Local producers,11.5,15
Tea,Urea,IFFCO MFL,5.36,35,Neem Cake,Greenrich S R Neem Agro Products,22.5,15
Coffee,NPK 15-15-15,MFL Coromandel,11,40,Vermicompost,Rasi Organic Farms Manidharma,17.5,15
Coffee,MOP,IPL MFL,34,55,Farmyard Manure (FYM),Rachana Guild Earth Sense Agro Products,14,15
Rubber,15-15-15 NPK,MFL Coromandel,11,40,Rubber Coir Dust,Local producers,11.5,15
Rubber,MOP,IPL MFL,34,55,Neem Cake,S R Neem Agro Products,22.5,15
Cocoa,Urea,IFFCO MFL,5.36,35,Vermicompost,Manidharma Biotech Rasi Organic Farms,17.5,15
Cocoa,MOP,IPL,34,55,Farmyard Manure (FYM),Rachana Guild Earth Sense Agro Products,14,15
Cocoa,SSP,Coromandel,9,55,Farmyard Manure (FYM),Rachana Guild Earth Sense Agro Products,14,15
Banana,Urea,IFFCO MFL,5.36,35,Cow Dung Manure,Rachana Guild Earth Sense Agro Products,14,15
Banana,MOP,IPL MFL,34,55,Pseudomonus,Agri Biotech TNAU,150,15
Banana,Boron,Local brands,25,35,Neem Cake,Greenrich S R Neem Agro Products,22.5,15
Mango,17-17-17 NPK,Coromandel MFL,11,40,Vermicompost,Rasi Organic Farms Manidharma,17.5,15
Mango,Zinc Sulphate,Coromandel,25,35,Farmyard Manure (FYM),Local Suppliers,14,15
Guava,Urea,IFFCO MFL,5.36,35,Cow Dung Manure,Rachana Guild Earth Sense Agro Products,14,15
Guava,SSP,Coromandel,9,55,Vermicompost,Manidharma Biotech Rasi Organic Farms,17.5,15
Guava,MOP,IPL MFL,34,55,Neem Cake,Greenrich S R Neem Agro Products,22.5,15
Sapota (Chikoo),Urea,IFFCO MFL,5.36,35,Neem Cake,Greenrich S R Neem Agro Products,22.5,15
Sapota (Chikoo),SSP,Coromandel,9,55,Farmyard Manure (FYM),Local Suppliers,14,15
Sapota (Chikoo),MOP,IPL MFL,34,55,Vermicompost,Manidharma Biotech Rasi Organic Farms,17.5,15
Citrus,NPK 15-15-15,MFL Coromandel,11,40,Vermicompost,Manidharma Biotech Rasi Organic Farms,17.5,15
Citrus,Zinc Sulphate,Coromandel,25,35,Azospirillum,TNAU Agri Biotech,150,15
Citrus,Borax,Local brands,25,35,Cow Dung Manure,Rachana Guild Earth Sense Agro Products,14,15
Papaya,Urea,IFFCO MFL,5.36,35,Cow Dung Manure,Rachana Guild Earth Sense Agro Products,14,15
Papaya,MOP,IPL MFL,34,55,Vermicompost,Rasi Organic Farms Manidharma,17.5,15
Jackfruit,Urea,IFFCO MFL,5.36,35,Farmyard Manure (FYM),Local Suppliers,14,15
Jackfruit,MOP,IPL MFL,34,55,Vermicompost,Manidharma Biotech Rasi Organic Farms,17.5,15
Jackfruit,SSP,Coromandel,9,55,Vermicompost,Manidharma Biotech Rasi Organic Farms,17.5,15
Pomegranate,17-17-17 NPK,Coromandel,11,40,Vermicompost,Manidharma Biotech Rasi Organic Farms,17.5,15
Pomegranate,Boron,Local brands,25,35,Phosphobacteria,TNAU,150,15
Aonla,Urea,IFFCO MFL,5.36,35,Cow Dung Manure,Rachana Guild Earth Sense Agro Products,14,15
Aonla,SSP,Coromandel,9,55,Neem Cake,Greenrich S R Neem Agro Products,22.5,15
Aonla,MOP,IPL MFL,34,55,Neem Cake,Greenrich S R Neem Agro Products,22.5,15
Grapes,19-19-19 NPK,Coromandel,11,40,Vermicompost,Rasi Organic Farms Manidharma,17.5,15
Grapes,MOP,IPL MFL,34,55,Compost,Local Suppliers,11.5,15
Grapes,Boron,Local brands,25,35,Compost,Local Suppliers,11.5,15
Tomato,Urea,IFFCO MFL,5.36,35,Vermicompost,Manidharma Biotech Rasi Organic Farms,17.5,15
Tomato,DAP,MFL Coromandel,27,17.5,Azospirillum,TNAU,150,15
Tomato,MOP,IPL MFL,34,55,Neem Cake,Greenrich S R Neem Agro Products,22.5,15
Brinjal,17-17-17 NPK,Coromandel,11,40,Neem Cake,Greenrich S R Neem Agro Products,22.5,15
Brinjal,Urea,IFFCO MFL,5.36,35,Cow Dung Manure,Rachana Guild Earth Sense Agro Products,14,15
Brinjal,DAP,MFL Coromandel,27,17.5,Cow Dung Manure,Rachana Guild Earth Sense Agro Products,14,15
Okra (Bhendi),Urea,IFFCO MFL,5.36,35,Vermicompost,Rasi Organic Farms Manidharma,17.5,15
Okra (Bhendi),DAP,MFL Coromandel,27,17.5,Phosphobacteria,TNAU,150,15
Okra (Bhendi),MOP,IPL MFL,34,55,Phosphobacteria,TNAU,150,15
Chilli,Urea,IFFCO MFL,5.36,35,Neem Cake,Greenrich S R Neem Agro Products,22.5,15
Chilli,MOP,IPL MFL,34,55,Vermicompost,Manidharma Biotech Rasi Organic Farms,17.5,15
Chilli,SSP,Coromandel,9,55,Vermicompost,Manidharma Biotech Rasi Organic Farms,17.5,15
Onion,15-15-15 NPK,MFL Coromandel,11,40,Farmyard Manure (FYM),Local Suppliers,14,15
Onion,Urea,IFFCO MFL,5.36,35,Neem Cake,S R Neem Agro Products,22.5,15
Onion,MOP,IPL MFL,34,55,Neem Cake,S R Neem Agro Products,22.5,15
Bitter Gourd,DAP,MFL Coromandel,27,17.5,Cow Dung Manure,Rachana Guild Earth Sense Agro Products,14,15
Bitter Gourd,MOP,IPL MFL,34,55,Vermicompost,Manidharma Biotech Rasi Organic Farms,17.5,15
Bitter Gourd,Urea,IFFCO MFL,5.36,35,Vermicompost,Manidharma Biotech Rasi Organic Farms,17.5,15
Bottle Gourd,Urea,IFFCO MFL,5.36,35,Vermicompost,Rasi Organic Farms Manidharma,17.5,15
Bottle Gourd,MOP,IPL MFL,34,55,Neem Cake,S R Neem Agro Products,22.5,15
Bottle Gourd,SSP,Coromandel,9,55,Neem Cake,S R Neem Agro Products,22.5,15
Snake Gourd,DAP,MFL Coromandel,27,17.5,Cow Dung Manure,Rachana Guild Earth Sense Agro Products,14,15
Snake Gourd,Urea,IFFCO MFL,5.36,35,Vermicompost,Manidharma Biotech Rasi Organic Farms,17.5,15
Snake Gourd,MOP,IPL MFL,34,55,Vermicompost,Manidharma Biotech Rasi Organic Farms,17.5,15
Cucumber,17-17-17 NPK,Coromandel,11,40,Neem Cake,Greenrich S R Neem Agro Products,22.5,15
Cucumber,Urea,IFFCO MFL,5.36,35,Farmyard Manure (FYM),Local Suppliers,14,15
Cucumber,MOP,IPL MFL,34,55,Farmyard Manure (FYM),Local Suppliers,14,15
Cabbage,Urea,IFFCO MFL,5.36,35,Vermicompost,Manidharma Biotech Rasi Organic Farms,17.5,15
Cabbage,DAP,MFL Coromandel,27,17.5,Cow Dung Manure,Rachana Guild Earth Sense Agro Products,14,15
Cabbage,MOP,IPL MFL,34,55,Cow Dung Manure,Rachana Guild Earth Sense Agro Products,14,15
Cauliflower,Urea,IFFCO MFL,5.36,35,Neem Cake,S R Neem Agro Products,22.5,15
Cauliflower,DAP,MFL Coromandel,27,17.5,Vermicompost,Rasi Organic Farms Manidharma,17.5,15
Cauliflower,Borax,Local brands,25,35,Vermicompost,Rasi Organic Farms Manidharma,17.5,15
Coriander,Urea,IFFCO MFL,5.36,35,Cow Dung Manure,Rachana Guild Earth Sense Agro Products,14,15
Coriander,SSP,Coromandel,9,55,Vermicompost,Manidharma Biotech Rasi Organic Farms,17.5,15
Black Pepper,15-15-15 NPK,MFL Coromandel,11,40,Neem Cake,Greenrich S R Neem Agro Products,22.5,15
Black Pepper,MOP,IPL MFL,34,55,Vermicompost,S R Neem Agro Products,17.5,15
Black Pepper,Zinc Sulphate,Coromandel,25,35,Vermicompost,S R Neem Agro Products,17.5,15
Cardamom,Urea,IFFCO MFL,5.36,35,Cow Dung Manure,Rachana Guild Earth Sense Agro Products,14,15
Cardamom,MOP,IPL MFL,34,55,Neem Cake,Greenrich S R Neem Agro Products,22.5,15
Cardamom,SSP,Coromandel,9,55,Neem Cake,Greenrich S R Neem Agro Products,22.5,15
Clove,Urea,IFFCO MFL,5.36,35,Vermicompost,Manidharma Biotech Rasi Organic Farms,17.5,15
Clove,MOP,IPL MFL,34,55,Farmyard Manure (FYM),Local Suppliers,14,15
Nutmeg,MOP,IPL MFL,34,55,Neem Cake,S R Neem Agro Products,22.5,15
Nutmeg,Urea,IFFCO MFL,5.36,35,Vermicompost,Rasi Organic Farms Manidharma,17.5,15
Garlic,DAP,MFL Coromandel,27,17.5,Cow Dung Manure,Rachana Guild Earth Sense Agro Products,14,15
Garlic,MOP,IPL MFL,34,55,Vermicompost,Manidharma Biotech Rasi Organic Farms,17.5,15
Garlic,Urea,IFFCO MFL,5.36,35,Vermicompost,Manidharma Biotech Rasi Organic Farms,17.5,15
Ginger,Urea,IFFCO MFL,5.36,35,Neem Cake,Greenrich S R Neem Agro Products,22.5,15
Ginger,SSP,Coromandel,9,55,Cow Dung Manure,Rachana Guild Earth Sense Agro Products,14,15
Ginger,MOP,IPL MFL,34,55,Cow Dung Manure,Rachana Guild Earth Sense Agro Products,14,15
Jasmine,19-19-19 NPK,Coromandel,11,40,Vermicompost,Rasi Organic Farms Manidharma,17.5,15
Jasmine,Urea,IFFCO MFL,5.36,35,Farmyard Manure (FYM),Local Suppliers,14,15
Jasmine,Boron,Local brands,25,35,Farmyard Manure (FYM),Local Suppliers,14,15
Rose,17-17-17 NPK,Coromandel,11,40,Neem Cake,Greenrich S R Neem Agro Products,22.5,15
Rose,MOP,IPL MFL,34,55,Vermicompost,S R Neem Agro Products,17.5,15
Rose,Urea,IFFCO MFL,5.36,35,Vermicompost,S R Neem Agro Products,17.5,15
Chrysanthemum,Urea,IFFCO MFL,5.36,35,Cow Dung Manure,Rachana Guild Earth Sense Agro Products,14,15
Chrysanthemum,DAP,MFL Coromandel,27,17.5,Vermicompost,Manidharma Biotech Rasi Organic Farms,17.5,15
Chrysanthemum,SSP,Coromandel,9,55,Vermicompost,Manidharma Biotech Rasi Organic Farms,17.5,15
Tuberose,NPK 15-15-15,MFL Coromandel,11,40,Neem Cake,Greenrich S R Neem Agro Products,22.5,15
Tuberose,Urea,IFFCO MFL,5.36,35,Vermicompost,Rasi Organic Farms Manidharma,17.5,15
Tuberose,MOP,IPL MFL,34,55,Vermicompost,Rasi Organic Farms Manidharma,17.5,15
Marigold,Urea,IFFCO MFL,5.36,35,Farmyard Manure (FYM),Local Suppliers,14,15
Marigold,DAP,MFL Coromandel,27,17.5,Cow Dung Manure,Rachana Guild Earth Sense Agro Products,14,15
Marigold,MOP,IPL MFL,34,55,Cow Dung Manure,Rachana Guild Earth Sense Agro Products,14,15
Medicinal Coleus,Urea,IFFCO MFL,5.36,35,Vermicompost,Manidharma Biotech Rasi Organic Farms,17.5,15
Medicinal Coleus,MOP,IPL MFL,34,55,Cow Dung Manure,Rachana Guild Earth Sense Agro Products,14,15
Medicinal Coleus,SSP,Coromandel,9,55,Cow Dung Manure,Rachana Guild Earth Sense Agro Products,14,15
Ashwagandha,DAP,MFL Coromandel,27,17.5,Neem Cake,Greenrich S R Neem Agro Products,22.5,15
Ashwagandha,MOP,IPL MFL,34,55,Farmyard Manure (FYM),Local Suppliers,14,15
Glory Lily,Urea,IFFCO MFL,5.36,35,Vermicompost,Rasi Organic Farms Manidharma,17.5,15
Glory Lily,DAP,MFL Coromandel,27,17.5,Cow Dung Manure,Rachana Guild Earth Sense Agro Products,14,15
Glory Lily,SSP,Coromandel,9,55,Cow Dung Manure,Rachana Guild Earth Sense Agro Products,14,15
Hybrid Napier Grass,Urea,IFFCO MFL,5.36,35,Cow Dung Manure,Rachana Guild Earth Sense Agro Products,14,15
Hybrid Napier Grass,DAP,MFL Coromandel,27,17.5,Vermicompost,Manidharma Biotech Rasi Organic Farms,17.5,15
CO-5 (Cumbu Napier) Grass,Urea,IFFCO MFL,5.36,35,Vermicompost,Manidharma Biotech Rasi Organic Farms,17.5,15
CO-5 (Cumbu Napier) Grass,MOP,IPL MFL,34,55,Neem Cake,Greenrich S R Neem Agro Products,22.5,15
Fodder Sorghum,Urea,IFFCO MFL,5.36,35,Farmyard Manure (FYM),Local Suppliers,14,15
Fodder Sorghum,DAP,MFL Coromandel,27,17.5,Cow Dung Manure,Rachana Guild Earth Sense Agro Products,14,15
Fodder Sorghum,MOP,IPL MFL,34,55,Cow Dung Manure,Rachana Guild Earth Sense Agro Products,14,15
Fodder Maize,Urea,IFFCO MFL,5.36,35,Vermicompost,Rasi Organic Farms Manidharma,17.5,15
Fodder Maize,DAP,MFL Coromandel,27,17.5,Azospirillum,TNAU,150,15
Fodder Maize,SSP,Coromandel,9,55,Azospirillum,TNAU,150,15
Guinea Grass,Urea,IFFCO MFL,5.36,35,Cow Dung Manure,Rachana Guild Earth Sense Agro Products,14,15
Guinea Grass,MOP,IPL MFL,34,55,Vermicompost,Manidharma Biotech Rasi Organic Farms,17.5,15
Cowpea (Fodder),Urea,IFFCO MFL,5.36,35,Neem Cake,Greenrich S R Neem Agro Products,22.5,15
Cowpea (Fodder),SSP,Coromandel,9,55,Rhizobium,TNAU,150,15
Cowpea (Fodder),MOP,IPL MFL,34,55,Rhizobium,TNAU,150,15
Stylosanthes hamata,DAP,MFL Coromandel,27,17.5,Farmyard Manure (FYM),Local Suppliers,14,15
Stylosanthes hamata,MOP,IPL MFL,34,55,Vermicompost,Rasi Organic Farms Manidharma,17.5,15
